player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
235084,Elemr Takcs,M,Hungary,HUN,1924,Summer,Paris,Shooting,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",No medal
235085,Elemr Takcs,M,Hungary,HUN,1924,Summer,Paris,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
235086,Elemr Takcs,M,Hungary,HUN,1924,Summer,Paris,Shooting,"Shooting Men's Running Target, Single Shot",No medal
235087,Elemr Takcs,M,Hungary,HUN,1924,Summer,Paris,Shooting,"Shooting Men's Running Target, Single Shot, Team",No medal
235088,Elemr Takcs,M,Hungary,HUN,1924,Summer,Paris,Shooting,"Shooting Men's Running Target, Double Shot",No medal
235089,Elemr Takcs,M,Hungary,HUN,1924,Summer,Paris,Shooting,"Shooting Men's Running Target, Double Shot, Team",No medal
235090,Gbor Takcs,M,Hungary,HUN,1988,Summer,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",No medal
235091,Gyula Takcs,M,Hungary,HUN,1936,Summer,Berlin,Handball,Handball Men's Handball,No medal
235092,Jnos Takcs,M,Hungary,HUN,1988,Summer,Seoul,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",No medal
235093,Jnos Takcs,M,Hungary,HUN,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",No medal
235094,Jlia Nyerges,F,Spain,ESP,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,No medal
235095,Kroly Takcs,M,Hungary,HUN,1948,Summer,London,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
235096,Kroly Takcs,M,Hungary,HUN,1952,Summer,Helsinki,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
235097,Kroly Takcs,M,Hungary,HUN,1956,Summer,Melbourne,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
235098,Katalin Takcs,F,Hungary,HUN,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Freestyle,No medal
235099,Katalin Takcs,F,Hungary,HUN,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,No medal
235100,Krisztin Takcs,M,Hungary,HUN,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,No medal
235101,Krisztin Takcs,M,Hungary,HUN,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,No medal
235102,Krisztin Takcs,M,Hungary,HUN,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,No medal
235103,Krisztin Takcs,M,Hungary,HUN,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal
235104,Krisztin Takcs,M,Hungary,HUN,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,No medal
235105,Krisztin Takcs,M,Hungary,HUN,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,No medal
235106,Orsolya Takcs,F,Hungary,HUN,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,No medal
235107,Orsolya Takcs,F,Hungary,HUN,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,No medal
235108,Orsolya Takcs,F,Hungary,HUN,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,No medal
235109,Pter Takcs,M,Hungary,HUN,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",No medal
235110,Pter Takcs,M,Hungary,HUN,2000,Summer,Sydney,Fencing,"Fencing Men's Sabre, Team",No medal
235111,Sndor Takcs,M,Hungary,HUN,1972,Summer,Munich,Handball,Handball Men's Handball,No medal
235112,Maki Takada,F,Japan,JPN,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,No medal
235113,Shizuo Takada,M,Japan,JPN,1936,Summer,Berlin,Athletics,Athletics Men's Shot Put,No medal
235114,Yasuo Takada,M,Japan,JPN,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Butterfly,No medal
235115,Yasuo Takada,M,Japan,JPN,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Butterfly,No medal
235116,Yuji Takada,M,Japan,JPN,1976,Summer,Montreal,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
235117,Yuji Takada,M,Japan,JPN,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
235119,Koki Takagi,M,Japan,JPN,1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,No medal
235120,Koki Takagi,M,Japan,JPN,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,No medal
235130,Tammy Takagi,F,Brazil,BRA,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,No medal
235131,Yutaka Takagi,M,Japan,JPN,1984,Summer,Los Angeles,Sailing,Sailing Mixed Two Person Dinghy,No medal
235132,Naohiro Takahara,M,Japan,JPN,2000,Summer,Sydney,Football,Football Men's Football,No medal
235133,Ayaka Takahashi,F,Japan,JPN,2016,Summer,Rio de Janeiro,Badminton,Badminton Women's Doubles,Gold
235134,Bruna Takahashi,F,Brazil,BRA,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Women's Team,No medal
235135,Chiemi Takahashi,F,Japan,JPN,2000,Summer,Sydney,Athletics,"Athletics Women's 10,000 metres",No medal
235147,Eiki Takahashi,M,Japan,JPN,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,No medal
235148,Eiko Takahashi,F,Japan,JPN,1964,Summer,Tokyo,Swimming,Swimming Women's 100 metres Butterfly,No medal
235149,Eiko Takahashi,F,Japan,JPN,1964,Summer,Tokyo,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No medal
235162,Kaori Takahashi,F,Japan,JPN,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
235165,Kenji Takahashi,M,Japan,JPN,2012,Summer,London,Sailing,Sailing Men's Skiff,No medal
235166,Kenji Takahashi,M,Japan,JPN,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Skiff,No medal
235167,Kiyomi Takahashi,F,Japan,JPN,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Butterfly,No medal
235168,Kiyomi Takahashi,F,Japan,JPN,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Butterfly,No medal
235169,Kiyomi Takahashi,F,Japan,JPN,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Butterfly,No medal
235170,Kiyomi Takahashi,F,Japan,JPN,1988,Summer,Seoul,Swimming,Swimming Women's 200 metres Butterfly,No medal
235171,Kiyomi Takahashi,F,Japan,JPN,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No medal
235172,Kosaku Takahashi,M,Japan,JPN,1964,Summer,Tokyo,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No medal
235173,Masanao Takahashi,M,Japan,JPN,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Individual",No medal
235174,Masanao Takahashi,M,Japan,JPN,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team",No medal
235175,Masayuki Takahashi,M,Japan,JPN,1988,Summer,Seoul,Sailing,Sailing Men's Two Person Dinghy,No medal
235176,Matsuyoshi Takahashi,M,Japan,JPN,1984,Summer,Los Angeles,Cycling,"Cycling Men's Road Race, Individual",No medal
235177,Miho Takahashi,F,Japan,JPN,2012,Summer,London,Swimming,Swimming Women's 400 metres Individual Medley,No medal
