atleta_nome,genero,year,pais,noc,temporada,cidade,esporte,evento,medalha
Hunde Toure,Masculino,1980,Ethiopia,ETH,Summer,Moskva,ATHLETICS,Athletics Men's 20 kilometres Walk,Nenhuma Medalha
Robert Jr.,Masculino,1964,United States,USA,Summer,Tokyo,SWIMMING,Swimming Men's 4 x 200 metres Freestyle Relay,Ouro
Aya Traor,Feminino,2016,Senegal,SEN,Summer,Rio de Janeiro,BASKETBALL,Basketball Women's Basketball,Nenhuma Medalha
Albert Trndle,Masculino,1924,Switzerland,SUI,Summer,Paris,SHOOTING,"Shooting Men's Free Rifle, Prone, 600 metres",Nenhuma Medalha
Pem Tshering,Feminino,1992,Bhutan,BHU,Summer,Barcelona,ARCHERY,Archery Women's Team,Nenhuma Medalha
tefan Tudor,Masculino,1976,Romania,ROU,Summer,Montreal,ROWING,Rowing Men's Coxless Fours,Nenhuma Medalha
Boniface Tumuti,Masculino,2012,Kenya,KEN,Summer,London,ATHLETICS,Athletics Men's 400 metres Hurdles,Nenhuma Medalha
Talat Tunalp,Masculino,1936,Turkey,TUR,Summer,Berlin,CYCLING,"Cycling Men's Road Race, Team",Nenhuma Medalha
Inez (-gray),Feminino,1996,Jamaica,JAM,Summer,Atlanta,ATHLETICS,Athletics Women's 4 x 400 metres Relay,Nenhuma Medalha
Jillian Tyler,Feminino,2012,Canada,CAN,Summer,London,SWIMMING,Swimming Women's 100 metres Breaststroke,Nenhuma Medalha
Andrew Tynes,Masculino,1996,Bahamas,BAH,Summer,Atlanta,ATHLETICS,Athletics Men's 4 x 100 metres Relay,Nenhuma Medalha
Ruslan Tyumenbayev,Masculino,2008,Kyrgyzstan,KGZ,Summer,Beijing,WRESTLING,"Wrestling Men's Lightweight, Greco-Roman",Bronze
Tadao Uesako,Masculino,1952,Japan,JPN,Summer,Helsinki,GYMNASTICS,Gymnastics Men's Horizontal Bar,Nenhuma Medalha
Uwe Unterwalder,Masculino,1976,East Germany,GDR,Summer,Montreal,CYCLING,"Cycling Men's Team Pursuit, 4,000 metres",Nenhuma Medalha
Roberto Bolona,Masculino,1968,Argentina,ARG,Summer,Mexico City,BOXING,Boxing Men's Light-Flyweight,Nenhuma Medalha
Antoinette Uys,Feminino,2004,South Africa,RSA,Summer,Athina,BADMINTON,Badminton Mixed Doubles,Nenhuma Medalha
Laura Hernndez,Feminino,1972,Mexico,MEX,Summer,Munich,SWIMMING,Swimming Women's 400 metres Individual Medley,Nenhuma Medalha
Alexander Blijenburgh,Masculino,1906,Netherlands,NED,Summer,Athina,FENCING,"Fencing Men's epee, Individual",Bronze
Alan Coller,Masculino,2000,South Africa,RSA,Summer,Sydney,CANOEING,"Canoeing Men's Kayak Singles, 500 metres",Nenhuma Medalha
Marinus Berge,Masculino,1924,Netherlands,NED,Summer,Paris,ATHLETICS,Athletics Men's 200 metres,Nenhuma Medalha
Ren Driessche,Masculino,1960,Belgium,BEL,Summer,Roma,FENCING,"Fencing Men's epee, Team",Nenhuma Medalha
Johanna Doorne,Feminino,1972,Netherlands,NED,Summer,Munich,EQUESTRIANISM,"Equestrianism Mixed Dressage, Individual",Nenhuma Medalha
Ernst Garderen,Masculino,1992,South Africa,RSA,Summer,Barcelona,FENCING,"Fencing Men's Foil, Individual",Nenhuma Medalha
Heiko (locher-),Masculino,1968,Netherlands,NED,Summer,Mexico City,HOCKEY,Hockey Men's Hockey,Nenhuma Medalha
Diederik Weel,Masculino,2000,Netherlands,NED,Summer,Sydney,HOCKEY,Hockey Men's Hockey,Ouro
Jack Vanbebber,Masculino,1932,United States,USA,Summer,Los Angeles,WRESTLING,"Wrestling Men's Welterweight, Freestyle",Ouro
Arianna Vanderpool-wallace,Feminino,2012,Bahamas,BAH,Summer,London,SWIMMING,Swimming Women's 50 metres Freestyle,Nenhuma Medalha
Luis Velzquez,Masculino,2004,Puerto Rico,PUR,Summer,Athina,GYMNASTICS,Gymnastics Men's Horizontal Bar,Nenhuma Medalha
Jzsef Varr,Masculino,1972,Hungary,HUN,Summer,Munich,EQUESTRIANISM,"Equestrianism Mixed Three-Day Event, Team",Nenhuma Medalha
Istvn Vaskuti,Masculino,1988,Hungary,HUN,Summer,Seoul,CANOEING,"Canoeing Men's Canadian Doubles, 500 metres",Nenhuma Medalha
Casimiro Vega,Masculino,1928,Argentina,ARG,Summer,Amsterdam,WEIGHTLIFTING,Weightlifting Men's Featherweight,Nenhuma Medalha
Marian Velicu,Masculino,2000,Romania,ROU,Summer,Sydney,BOXING,Boxing Men's Light-Flyweight,Nenhuma Medalha
Jos Veras,Masculino,1992,Dominican Republic,DOM,Summer,Barcelona,BASEBALL,Baseball Men's Baseball,Nenhuma Medalha
Andr Verhalle,Masculino,1960,Belgium,BEL,Summer,Roma,FENCING,"Fencing Men's Foil, Individual",Nenhuma Medalha
Neil Versfeld,Masculino,2008,South Africa,RSA,Summer,Beijing,SWIMMING,Swimming Men's 200 metres Breaststroke,Nenhuma Medalha
Peter Vidmar,Masculino,1984,United States,USA,Summer,Los Angeles,GYMNASTICS,Gymnastics Men's Horse Vault,Nenhuma Medalha
Tea Vikstedt-nyman,Feminino,1992,Finland,FIN,Summer,Barcelona,CYCLING,"Cycling Women's Road Race, Individual",Nenhuma Medalha
Jocelyne (tranchant-),Feminino,1988,France,FRA,Summer,Seoul,ATHLETICS,Athletics Women's Marathon,Nenhuma Medalha
Aleksandr Vinokurov,Masculino,1996,Kazakhstan,KAZ,Summer,Atlanta,CYCLING,"Cycling Men's Road Race, Individual",Nenhuma Medalha
Eero Virtanen,Masculino,1948,Finland,FIN,Summer,London,WRESTLING,"Wrestling Men's Lightweight, Greco-Roman",Nenhuma Medalha
Lyudmila Vityukova,Feminino,1996,Belarus,BLR,Summer,Atlanta,GYMNASTICS,Gymnastics Women's Team All-Around,Nenhuma Medalha
Yelena (-tyunenkova),Feminino,1964,Soviet Union,URS,Summer,Tokyo,GYMNASTICS,Gymnastics Women's Horse Vault,Nenhuma Medalha
Dmitry Volkov,Masculino,1992,Unified Team,EUN,Summer,Barcelona,SWIMMING,Swimming Men's 4 x 100 metres Medley Relay,Prata
Wilhelm Hohenau,Masculino,1912,Germany,GER,Summer,Stockholm,EQUESTRIANISM,"Equestrianism Men's Jumping, Team",Bronze
Johan Holst,Masculino,1908,Sweden,SWE,Summer,London,SHOOTING,"Shooting Men's Free Pistol, 50 yards",Nenhuma Medalha
Gottfried Meiss,Masculino,1948,Switzerland,SUI,Summer,London,FENCING,"Fencing Men's Foil, Team",Nenhuma Medalha
Andr Vonarburg,Masculino,2000,Switzerland,SUI,Summer,Sydney,ROWING,Rowing Men's Quadruple Sculls,Nenhuma Medalha
Marianne Vos,Feminino,2012,Netherlands,NED,Summer,London,CYCLING,"Cycling Women's Road Race, Individual",Ouro
Milo Vrati,Masculino,1968,Yugoslavia,YUG,Summer,Mexico City,GYMNASTICS,Gymnastics Men's Team All-Around,Nenhuma Medalha
E. Walton,Masculino,1928,Great Britain,GBR,Summer,Amsterdam,GYMNASTICS,Gymnastics Men's Horizontal Bar,Nenhuma Medalha
Wang Bolin,Feminino,1988,China,CHN,Summer,Seoul,SWIMMING,Swimming Women's 200 metres Backstroke,Nenhuma Medalha
Wang Chao,Masculino,2008,China,CHN,Summer,Beijing,BASEBALL,Baseball Men's Baseball,Nenhuma Medalha
