atleta_nome,genero,year,pais,noc,temporada,cidade,esporte,evento,medalha
Per Wikstrm,Masculino,1980,Sweden,SWE,Summer,Moskva,SWIMMING,Swimming Men's 100 metres Freestyle,Nenhuma Medalha
Xian Bangdi,Feminino,1996,China,CHN,Summer,Atlanta,CANOEING,"Canoeing Women's Kayak Fours, 500 metres",Nenhuma Medalha
Simone Anzani,Masculino,2020,Italy,ITA,Summer,Tokyo,VOLLEYBALL,Men Team,Nenhuma Medalha
Nicolas Brussino,Masculino,2020,Argentina,ARG,Summer,Tokyo,BASKETBALL,Men Team,Nenhuma Medalha
Anthony Dean,Masculino,2020,Australia,AUS,Summer,Tokyo,CYCLING BMX RACING,Men,Nenhuma Medalha
Donavan Grondin,Masculino,2020,France,FRA,Summer,Tokyo,CYCLING TRACK,Men's Omnium,Nenhuma Medalha
Brent Hayden,Masculino,2020,Canada,CAN,Summer,Tokyo,SWIMMING,Men's 50m Freestyle,Nenhuma Medalha
Hiroyuki Kitahara,Masculino,2020,Japan,JPN,Summer,Tokyo,EQUESTRIAN,Dressage Team,Nenhuma Medalha
Iryna Malovichko,Feminino,2020,Ukraine,UKR,Summer,Tokyo,SHOOTING,Skeet Women,Nenhuma Medalha
Nikita Nagornyy,Masculino,2020,Russia,ROC,Summer,Tokyo,ARTISTIC GYMNASTICS,Men's Parallel Bars,Nenhuma Medalha
Shogo Taguchi,Masculino,1932,Japan,JPN,Summer,Los Angeles,ART COMPETITIONS,"Art Competitions Mixed Painting, Unknown Event",Nenhuma Medalha
Hiromitsu Takano,Masculino,1984,Japan,JPN,Summer,Los Angeles,JUDO,Judo Men's Half-Middleweight,Nenhuma Medalha
Yukari Takemoto,Feminino,1968,Japan,JPN,Summer,Mexico City,SWIMMING,Swimming Women's 200 metres Breaststroke,Nenhuma Medalha
Tania Tallie,Feminino,2000,South Africa,RSA,Summer,Sydney,JUDO,Judo Women's Extra-Lightweight,Nenhuma Medalha
Dimosthenis Tambakos,Masculino,2004,Greece,GRE,Summer,Athina,GYMNASTICS,Gymnastics Men's Rings,Ouro
Shigemi Tamura,Masculino,1960,Japan,JPN,Summer,Roma,ROWING,Rowing Men's Coxed Eights,Nenhuma Medalha
Masami Tanaka,Feminino,2004,Japan,JPN,Summer,Athina,SWIMMING,Swimming Women's 100 metres Breaststroke,Nenhuma Medalha
Jean Taris,Masculino,1932,France,FRA,Summer,Los Angeles,SWIMMING,Swimming Men's 400 metres Freestyle,Prata
Aldo Tarlao,Masculino,1952,Italy,ITA,Summer,Helsinki,ROWING,Rowing Men's Coxed Pairs,Nenhuma Medalha
Abigael Tarus,Feminino,2004,Kenya,KEN,Summer,Athina,VOLLEYBALL,Volleyball Women's Volleyball,Nenhuma Medalha
Sbastien Tayac,Masculino,1996,France,FRA,Summer,Atlanta,GYMNASTICS,Gymnastics Men's Parallel Bars,Nenhuma Medalha
Brenda Taylor,Feminino,1992,Canada,CAN,Summer,Barcelona,ROWING,Rowing Women's Coxed Eights,Ouro
Yury Teplov,Masculino,1952,Soviet Union,URS,Summer,Helsinki,WATER POLO,Water Polo Men's Water Polo,Nenhuma Medalha
Shinichi Terano,Masculino,2004,Japan,JPN,Summer,Athina,ATHLETICS,Athletics Men's Long Jump,Nenhuma Medalha
Einari Tersvirta,Masculino,1936,Finland,FIN,Summer,Berlin,GYMNASTICS,Gymnastics Men's Pommelled Horse,Nenhuma Medalha
Ken Terauchi,Masculino,2016,Japan,JPN,Summer,Rio de Janeiro,DIVING,Diving Men's Springboard,Nenhuma Medalha
Turhan Tezol,Masculino,1952,Turkey,TUR,Summer,Helsinki,BASKETBALL,Basketball Men's Basketball,Nenhuma Medalha
Stephen Thega,Masculino,1968,Kenya,KEN,Summer,Mexico City,BOXING,Boxing Men's Light-Middleweight,Nenhuma Medalha
Aleksander Theslf,Masculino,1924,Finland,FIN,Summer,Paris,SHOOTING,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Nenhuma Medalha
Andreas Thiel,Masculino,1992,Germany,GER,Summer,Barcelona,HANDBALL,Handball Men's Handball,Nenhuma Medalha
Alexander Thieme,Masculino,1976,East Germany,GDR,Summer,Montreal,ATHLETICS,Athletics Men's 4 x 100 metres Relay,Prata
Kim Thomas,Feminino,1992,Great Britain,GBR,Summer,Barcelona,ROWING,Rowing Women's Coxless Fours,Nenhuma Medalha
Mary Thomson-king,Feminino,2008,Great Britain,GBR,Summer,Beijing,EQUESTRIANISM,"Equestrianism Mixed Three-Day Event, Individual",Nenhuma Medalha
Jean Thorailler,Masculino,1912,France,FRA,Summer,Stockholm,WATER POLO,Water Polo Men's Water Polo,Nenhuma Medalha
Elise Thorsnes,Feminino,2008,Norway,NOR,Summer,Beijing,FOOTBALL,Football Women's Football,Nenhuma Medalha
Petra -katzur),Feminino,1976,East Germany,GDR,Summer,Montreal,SWIMMING,Swimming Women's 400 metres Freestyle,Ouro
Christopher Timms,Masculino,1988,New Zealand,NZL,Summer,Seoul,SAILING,Sailing Mixed Multihull,Prata
Leslie Tipton,Masculino,1964,United States,USA,Summer,Tokyo,ATHLETICS,Athletics Men's Javelin Throw,Nenhuma Medalha
Elena Todorova,Feminino,2012,Bulgaria,BUL,Summer,London,RHYTHMIC GYMNASTICS,Rhythmic Gymnastics Women's Group,Nenhuma Medalha
Hiroyuki Tomita,Masculino,2004,Japan,JPN,Summer,Athina,GYMNASTICS,Gymnastics Men's Parallel Bars,Prata
Feliks Topolski,Masculino,1948,Great Britain,GBR,Summer,London,ART COMPETITIONS,"Art Competitions Mixed Painting, Unknown Event",Nenhuma Medalha
Nadezhda Torlopova,Feminino,2012,Russia,RUS,Summer,London,BOXING,Boxing Women's Middleweight,Prata
Pilar Mart,Feminino,1960,Spain,ESP,Summer,Roma,FENCING,"Fencing Women's Foil, Individual",Nenhuma Medalha
Khuloud Tourky-wiggins,Feminino,2004,Australia,AUS,Summer,Athina,DIVING,Diving Women's Platform,Bronze
Fritz Trautmann,Masculino,1936,Austria,AUT,Summer,Berlin,ART COMPETITIONS,"Art Competitions Mixed Architecture, Unknown Event",Nenhuma Medalha
Massimo Trevisan,Masculino,1988,Italy,ITA,Summer,Seoul,SWIMMING,Swimming Men's 4 x 200 metres Freestyle Relay,Nenhuma Medalha
Margaretha Tromp,Feminino,1988,Netherlands,NED,Summer,Seoul,ATHLETICS,Athletics Women's 4 x 100 metres Relay,Nenhuma Medalha
Joris Trooster,Masculino,2000,Netherlands,NED,Summer,Sydney,ROWING,Rowing Men's Lightweight Coxless Fours,Nenhuma Medalha
Oleg Troshin,Masculino,1992,Unified Team,EUN,Summer,Barcelona,ATHLETICS,Athletics Men's 20 kilometres Walk,Nenhuma Medalha
Vyacheslav Troshin,Masculino,1980,Soviet Union,URS,Summer,Moskva,DIVING,Diving Men's Springboard,Nenhuma Medalha
Marcel Tschopp,Masculino,2012,Liechtenstein,LIE,Summer,London,ATHLETICS,Athletics Men's Marathon,Nenhuma Medalha
Tserenbaataryn Khosbayar,Masculino,1992,Mongolia,MGL,Summer,Barcelona,WRESTLING,"Wrestling Men's Light-Flyweight, Freestyle",Nenhuma Medalha
Oksana Tsyhulova,Feminino,2000,Ukraine,UKR,Summer,Sydney,TRAMPOLINING,Trampolining Women's Individual,Prata
Scott Tucker,Masculino,2000,United States,USA,Summer,Sydney,SWIMMING,Swimming Men's 4 x 100 metres Freestyle Relay,Prata
Mirela Ugurlan,Feminino,1996,Romania,ROU,Summer,Atlanta,GYMNASTICS,Gymnastics Women's Uneven Bars,Nenhuma Medalha
Margarita Turova,Feminino,2008,Belarus,BLR,Summer,Beijing,ATHLETICS,Athletics Women's 20 kilometres Walk,Nenhuma Medalha
Pl Tuska,Masculino,1996,Hungary,HUN,Summer,Atlanta,EQUESTRIANISM,"Equestrianism Mixed Three-Day Event, Team",Nenhuma Medalha
Herman Tuvesson,Masculino,1932,Sweden,SWE,Summer,Los Angeles,WRESTLING,"Wrestling Men's Bantamweight, Greco-Roman",Nenhuma Medalha
Elizabeth Tweddle,Feminino,2008,Great Britain,GBR,Summer,Beijing,GYMNASTICS,Gymnastics Women's Individual All-Around,Nenhuma Medalha
Shoji Uchida,Masculino,1984,Japan,JPN,Summer,Los Angeles,MODERN PENTATHLON,Modern Pentathlon Men's Team,Nenhuma Medalha
Viktor Ugryumov,Masculino,1976,Soviet Union,URS,Summer,Montreal,EQUESTRIANISM,"Equestrianism Mixed Dressage, Team",Nenhuma Medalha
Masahiko Umeda,Masculino,1972,Japan,JPN,Summer,Munich,WRESTLING,"Wrestling Men's Light-Flyweight, Freestyle",Nenhuma Medalha
Edit Urbn,Feminino,1988,Hungary,HUN,Summer,Seoul,TABLE TENNIS,Table Tennis Women's Singles,Nenhuma Medalha
Annika (-sundberg),Feminino,1980,Sweden,SWE,Summer,Moskva,SWIMMING,Swimming Women's 100 metres Backstroke,Nenhuma Medalha
Franziska Almsick,Feminino,2004,Germany,GER,Summer,Athina,SWIMMING,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
Bernardus Beek,Masculino,1928,Netherlands,NED,Summer,Amsterdam,ART COMPETITIONS,"Art Competitions Mixed Painting, Paintings",Nenhuma Medalha
Serge Cottom,Masculino,1980,Belgium,BEL,Summer,Moskva,WEIGHTLIFTING,Weightlifting Men's Light-Heavyweight,Nenhuma Medalha
Pieter Dam,Masculino,1928,Netherlands,NED,Summer,Amsterdam,GYMNASTICS,Gymnastics Men's Horizontal Bar,Nenhuma Medalha
Jurgen Broeck,Masculino,2008,Belgium,BEL,Summer,Beijing,CYCLING,"Cycling Men's Road Race, Individual",Nenhuma Medalha
Sander Weide,Masculino,2004,Netherlands,NED,Summer,Athina,HOCKEY,Hockey Men's Hockey,Prata
Janine Wyk,Feminino,2016,South Africa,RSA,Summer,Rio de Janeiro,FOOTBALL,Football Women's Football,Nenhuma Medalha
Erik Varga,Masculino,2008,Slovakia,SVK,Summer,Beijing,SHOOTING,Shooting Men's Trap,Nenhuma Medalha
Sndor Vass,Masculino,1980,Hungary,HUN,Summer,Moskva,HANDBALL,Handball Men's Handball,Nenhuma Medalha
Liudmyla Vasylieva,Feminino,2000,Ukraine,UKR,Summer,Sydney,FENCING,"Fencing Women's Foil, Individual",Nenhuma Medalha
Ral Vzquez,Masculino,1968,Cuba,CUB,Summer,Mexico City,CYCLING,"Cycling Men's 1,000 metres Time Trial",Nenhuma Medalha
Jos Cuesta,Masculino,1992,Colombia,COL,Summer,Barcelona,CYCLING,Cycling Men's Points Race,Nenhuma Medalha
Floris Venter,Masculino,1908,South Africa,RSA,Summer,London,CYCLING,"Cycling Men's 5,000 metres",Nenhuma Medalha
Legna Rodrguez,Feminino,2000,Cuba,CUB,Summer,Sydney,JUDO,Judo Women's Half-Lightweight,Ouro
Jasa Veremalua,Masculino,2016,Fiji,FIJ,Summer,Rio de Janeiro,RUGBY SEVENS,Rugby Sevens Men's Rugby Sevens,Ouro
Oksana Verevka,Feminino,2000,Russia,RUS,Summer,Sydney,SWIMMING,Swimming Women's 200 metres Individual Medley,Nenhuma Medalha
Oleh Verniaiev,Masculino,2012,Ukraine,UKR,Summer,London,GYMNASTICS,Gymnastics Men's Parallel Bars,Nenhuma Medalha
Rgine Veronnet,Feminino,1960,France,FRA,Summer,Roma,FENCING,"Fencing Women's Foil, Individual",Nenhuma Medalha
Grazia Verzasconi,Feminino,1984,Switzerland,SUI,Summer,Los Angeles,RHYTHMIC GYMNASTICS,Rhythmic Gymnastics Women's Individual,Nenhuma Medalha
Anne-Laure Viard,Feminino,2008,France,FRA,Summer,Beijing,CANOEING,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
Borja Fernndez,Masculino,2016,Qatar,QAT,Summer,Rio de Janeiro,HANDBALL,Handball Men's Handball,Nenhuma Medalha
Hernn Espinoza,Masculino,2016,Peru,PER,Summer,Rio de Janeiro,WEIGHTLIFTING,Weightlifting Men's Heavyweight,Nenhuma Medalha
Paul Vighals,Masculino,1912,Norway,NOR,Summer,Stockholm,SHOOTING,"Shooting Men's Free Rifle, Three Positions, 300 metres",Nenhuma Medalha
Joaqun Villalba,Masculino,1960,Spain,ESP,Summer,Roma,MODERN PENTATHLON,Modern Pentathlon Men's Individual,Nenhuma Medalha
Patricia Vargas,Feminino,2000,Mexico,MEX,Summer,Sydney,SWIMMING,Swimming Women's 800 metres Freestyle,Nenhuma Medalha
Richard Villepontoux,Masculino,1908,France,FRA,Summer,London,CYCLING,"Cycling Men's 5,000 metres",Nenhuma Medalha
Anthony Vince,Masculino,1924,Canada,CAN,Summer,Paris,ATHLETICS,Athletics Men's 4 x 100 metres Relay,Nenhuma Medalha
Carl Vinciquerra,Masculino,1936,United States,USA,Summer,Berlin,BOXING,Boxing Men's Light-Heavyweight,Nenhuma Medalha
Jrgen Vodsgaard,Masculino,1972,Denmark,DEN,Summer,Munich,HANDBALL,Handball Men's Handball,Nenhuma Medalha
Maud Rosen,Feminino,1972,Sweden,SWE,Summer,Munich,EQUESTRIANISM,"Equestrianism Mixed Dressage, Individual",Nenhuma Medalha
Wolfgard Vo,Feminino,1952,Germany,GER,Summer,Helsinki,GYMNASTICS,Gymnastics Women's Horse Vault,Nenhuma Medalha
Ljubomir Vranjes,Masculino,2000,Sweden,SWE,Summer,Sydney,HANDBALL,Handball Men's Handball,Prata
Przemysaw Wacha,Masculino,2004,Poland,POL,Summer,Athina,BADMINTON,Badminton Men's Singles,Nenhuma Medalha
Kenneth Wallace,Masculino,2008,Australia,AUS,Summer,Beijing,CANOEING,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
Erik Wallerius,Masculino,1908,Vinga-1,SWE,Summer,London,SAILING,Sailing Mixed 8 metres,Prata
Oliver Walther,Masculino,1992,Germany,GER,Summer,Barcelona,GYMNASTICS,Gymnastics Men's Pommelled Horse,Nenhuma Medalha
Wang Dapeng,Masculino,2016,China,CHN,Summer,Rio de Janeiro,ARCHERY,Archery Men's Individual,Nenhuma Medalha
Wang Gu,Feminino,2008,Singapore,SGP,Summer,Beijing,TABLE TENNIS,Table Tennis Women's Singles,Nenhuma Medalha
Wang Qinghuan,Feminino,1988,China,CHN,Summer,Seoul,ATHLETICS,"Athletics Women's 10,000 metres",Nenhuma Medalha
Wang Wenjing,Feminino,1988,China,CHN,Summer,Seoul,GYMNASTICS,Gymnastics Women's Individual All-Around,Nenhuma Medalha
Pamela Ware,Feminino,2016,Canada,CAN,Summer,Rio de Janeiro,DIVING,Diving Women's Synchronized Springboard,Nenhuma Medalha
Kelly-Ann Way,Feminino,1992,Canada,CAN,Summer,Barcelona,CYCLING,"Cycling Women's Road Race, Individual",Nenhuma Medalha
Charmaine (-gale),Feminino,1992,South Africa,RSA,Summer,Barcelona,ATHLETICS,Athletics Women's High Jump,Nenhuma Medalha
Eileen Weir,Feminino,1964,Canada,CAN,Summer,Tokyo,SWIMMING,Swimming Women's 100 metres Backstroke,Nenhuma Medalha
Todd Wells,Masculino,2004,United States,USA,Summer,Athina,CYCLING,"Cycling Men's Mountainbike, Cross-Country",Nenhuma Medalha
Frank Wendling,Masculino,1924,United States,USA,Summer,Paris,ATHLETICS,Athletics Men's Marathon,Nenhuma Medalha
Joachim Wendt,Masculino,1988,Austria,AUT,Summer,Seoul,FENCING,"Fencing Men's Foil, Individual",Nenhuma Medalha
Dag Wennlund,Masculino,1988,Sweden,SWE,Summer,Seoul,ATHLETICS,Athletics Men's Javelin Throw,Nenhuma Medalha
Joseph West,Masculino,1952,Ireland,IRL,Summer,Helsinki,ATHLETICS,Athletics Men's Marathon,Nenhuma Medalha
Hannah Whelan,Feminino,2012,Great Britain,GBR,Summer,London,GYMNASTICS,Gymnastics Women's Team All-Around,Nenhuma Medalha
Jacob Whetton,Masculino,2016,Australia,AUS,Summer,Rio de Janeiro,HOCKEY,Hockey Men's Hockey,Nenhuma Medalha
Michael Whitaker,Masculino,1992,Great Britain,GBR,Summer,Barcelona,EQUESTRIANISM,"Equestrianism Mixed Jumping, Individual",Nenhuma Medalha
Walter White,Masculino,1924,Great Britain,GBR,Summer,Paris,BOXING,Boxing Men's Lightweight,Nenhuma Medalha
F. Whitehead,Masculino,1908,Great Britain,GBR,Summer,London,GYMNASTICS,Gymnastics Men's Team All-Around,Nenhuma Medalha
Emil (hermansson-),Masculino,1924,Sweden,SWE,Summer,Paris,ATHLETICS,"Athletics Men's 5,000 metres",Bronze
Caspar Widmer,Masculino,1906,Switzerland,SUI,Summer,Athina,SHOOTING,"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",Nenhuma Medalha
Alison (-conaghan),Feminino,2004,Great Britain,GBR,Summer,Athina,ARCHERY,Archery Women's Individual,Bronze
Jan Wils,Masculino,1932,Netherlands,NED,Summer,Los Angeles,ART COMPETITIONS,"Art Competitions Mixed Painting, Unknown Event",Nenhuma Medalha
Harvey Wilson,Masculino,1988,New Zealand,NZL,Summer,Seoul,EQUESTRIANISM,"Equestrianism Mixed Jumping, Team",Nenhuma Medalha
Barry Winch,Masculino,1980,Great Britain,GBR,Summer,Moskva,GYMNASTICS,Gymnastics Men's Individual All-Around,Nenhuma Medalha
K. Woerner,Masculino,1904,United States,USA,Summer,St. Louis,GYMNASTICS,"Gymnastics Men's Individual All-Around, Field Sports",Nenhuma Medalha
Frederick Wolff,Masculino,1936,Great Britain,GBR,Summer,Berlin,ATHLETICS,Athletics Men's 4 x 400 metres Relay,Ouro
Wu Jiaxin,Feminino,2016,China,CHN,Summer,Rio de Janeiro,ARCHERY,Archery Women's Team,Nenhuma Medalha
Wu Penggen,Masculino,2012,China,CHN,Summer,London,BEACH VOLLEYBALL,Beach Volleyball Men's Beach Volleyball,Nenhuma Medalha
Adam Wysocki,Masculino,2000,Poland,POL,Summer,Sydney,CANOEING,"Canoeing Men's Kayak Doubles, 500 metres",Nenhuma Medalha
Xie Zhiling,Feminino,1988,China,CHN,Summer,Seoul,ATHLETICS,Athletics Women's 200 metres,Nenhuma Medalha
Sadako Yamashita,Feminino,1952,Japan,JPN,Summer,Helsinki,SWIMMING,Swimming Women's 400 metres Freestyle,Nenhuma Medalha
Yaeko Yamazaki,Feminino,1972,Japan,JPN,Summer,Munich,VOLLEYBALL,Volleyball Women's Volleyball,Prata
Yan Liang,Masculino,2008,China,CHN,Summer,Beijing,HANDBALL,Handball Men's Handball,Nenhuma Medalha
Yang Wei,Masculino,2004,China,CHN,Summer,Athina,GYMNASTICS,Gymnastics Men's Horse Vault,Nenhuma Medalha
Mariana Yankulova,Feminino,1992,Bulgaria,BUL,Summer,Barcelona,ROWING,Rowing Women's Coxless Fours,Nenhuma Medalha
Naomi Yashiro,Feminino,2004,Japan,JPN,Summer,Athina,BASKETBALL,Basketball Women's Basketball,Nenhuma Medalha
Galina Yenyukhina,Feminino,1992,Unified Team,EUN,Summer,Barcelona,CYCLING,Cycling Women's Sprint,Nenhuma Medalha
Hideichi Yoshioka,Masculino,1936,Japan,JPN,Summer,Berlin,WRESTLING,"Wrestling Men's Featherweight, Greco-Roman",Nenhuma Medalha
Yun Ok-hui,Feminino,2008,South Korea,KOR,Summer,Beijing,ARCHERY,Archery Women's Team,Ouro
Eddy Yusof,Masculino,2016,Switzerland,SUI,Summer,Rio de Janeiro,GYMNASTICS,Gymnastics Men's Individual All-Around,Nenhuma Medalha
Radka Zemanov,Feminino,1980,Czechoslovakia,TCH,Summer,Moskva,GYMNASTICS,Gymnastics Women's Uneven Bars,Nenhuma Medalha
Thomas Zereske,Masculino,1996,Germany,GER,Summer,Atlanta,CANOEING,"Canoeing Men's Canadian Singles, 500 metres",Nenhuma Medalha
Tatyana Zharganova,Feminino,1996,Belarus,BLR,Summer,Atlanta,GYMNASTICS,Gymnastics Women's Balance Beam,Nenhuma Medalha
Daryna Zhoba,Feminino,2008,Ukraine,UKR,Summer,Beijing,GYMNASTICS,Gymnastics Women's Individual All-Around,Nenhuma Medalha
Zhou Lingmei,Feminino,1992,China,CHN,Summer,Barcelona,CYCLING,"Cycling Women's Individual Pursuit, 3,000 metres",Nenhuma Medalha
Xi Zhou,Feminino,2000,Australia,AUS,Summer,Sydney,TABLE TENNIS,Table Tennis Women's Singles,Nenhuma Medalha
Szymon Zikowski,Masculino,2008,Poland,POL,Summer,Beijing,ATHLETICS,Athletics Men's Hammer Throw,Nenhuma Medalha
Damjan Zlatnar,Masculino,2008,Slovenia,SLO,Summer,Beijing,ATHLETICS,Athletics Men's 110 metres Hurdles,Nenhuma Medalha
Anatole Kuyo,Masculino,1988,Cote d'Ivoire,CIV,Summer,Seoul,ATHLETICS,Athletics Men's 4 x 400 metres Relay,Nenhuma Medalha
Mario Zorzi,Masculino,1932,Italy,ITA,Summer,Los Angeles,SHOOTING,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Nenhuma Medalha
Pauline Ado,Feminino,2020,France,FRA,Summer,Tokyo,SURFING,Women,Nenhuma Medalha
Ekerekeme Agiomor,Masculino,2020,Nigeria,NGR,Summer,Tokyo,WRESTLING,Men's Freestyle 86kg,Nenhuma Medalha
Milan Aleksic,Masculino,2020,Serbia,SRB,Summer,Tokyo,WATER POLO,Men Team,Ouro
Kayla Alexander,Feminino,2020,Canada,CAN,Summer,Tokyo,BASKETBALL,Women Team,Nenhuma Medalha
Tayfur Aliyev,Masculino,2020,Azerbaijan,AZE,Summer,Tokyo,BOXING,Men's Feather (52-57kg),Nenhuma Medalha
Melvin Bard,Masculino,2020,France,FRA,Summer,Tokyo,FOOTBALL,Men Team,Nenhuma Medalha
Aimee Canny,Feminino,2020,South Africa,RSA,Summer,Tokyo,SWIMMING,Women's 4 x 100m Medley Relay Team,Nenhuma Medalha
Joe Champness,Masculino,2020,New Zealand,NZL,Summer,Tokyo,FOOTBALL,Men Team,Nenhuma Medalha
Andreea Chitu,Feminino,2020,Romania,ROU,Summer,Tokyo,JUDO,Women -52 kg,Nenhuma Medalha
Daria Davydova,Feminino,2020,Russia,ROC,Summer,Tokyo,JUDO,Mixed Team,Nenhuma Medalha
de Marco,Masculino,2020,Italy,ITA,Summer,Tokyo,SHOOTING,50m Rifle 3 Positions Men,Nenhuma Medalha
Luiz Douglas,Masculino,2020,Brazil,BRA,Summer,Tokyo,FOOTBALL,Men Team,Ouro
Amgad El,Masculino,2020,Qatar,QAT,Summer,Tokyo,ATHLETICS,Men's Hammer Throw,Nenhuma Medalha
Loris Frasca,Masculino,2020,France,FRA,Summer,Tokyo,ARTISTIC GYMNASTICS,Men's Vault,Nenhuma Medalha
Leigh Godfrey,Feminino,2020,Australia,AUS,Summer,Tokyo,BASEBALL/SOFTBALL,Softball Team,Nenhuma Medalha
Christopher Griffiths,Masculino,2020,Great Britain,GBR,Summer,Tokyo,HOCKEY,Men Team,Nenhuma Medalha
Tareg Hamedi,Masculino,2020,Saudi Arabia,KSA,Summer,Tokyo,KARATE,Men's Kumite +75kg,Prata
Betsy Hassett,Feminino,2020,New Zealand,NZL,Summer,Tokyo,FOOTBALL,Women Team,Nenhuma Medalha
Jon-hermann Hegg,Masculino,2020,Norway,NOR,Summer,Tokyo,SHOOTING,10m Air Rifle Mixed Team,Nenhuma Medalha
Max Hess,Masculino,2020,Germany,GER,Summer,Tokyo,ATHLETICS,Men's Triple Jump,Nenhuma Medalha
Daryl Homer,Masculino,2020,United States,USA,Summer,Tokyo,FENCING,Men's Sabre Individual,Nenhuma Medalha
Manon Hostens,Feminino,2020,France,FRA,Summer,Tokyo,CANOE SPRINT,Women's Kayak Four 500m Team,Nenhuma Medalha
Ekaterina Ilina,Feminino,2020,Russia,ROC,Summer,Tokyo,HANDBALL,Women Team,Prata
Troy Isley,Masculino,2020,United States,USA,Summer,Tokyo,BOXING,Men's Middle (69-75kg),Nenhuma Medalha
Stephen Jenness,Masculino,2020,New Zealand,NZL,Summer,Tokyo,HOCKEY,Men Team,Nenhuma Medalha
Joana Jimenez,Feminino,2020,Mexico,MEX,Summer,Tokyo,ARTISTIC SWIMMING,Duet Team,Nenhuma Medalha
Victor Johansson,Masculino,2020,Sweden,SWE,Summer,Tokyo,SWIMMING,Men's 1500m Freestyle,Nenhuma Medalha
Monika Karsch,Feminino,2020,Germany,GER,Summer,Tokyo,SHOOTING,10m Air Pistol Women,Nenhuma Medalha
Seon Kim,Masculino,2020,South Korea,KOR,Summer,Tokyo,EQUESTRIAN,Dressage Individual,Nenhuma Medalha
Balint Kopasz,Masculino,2020,Hungary,HUN,Summer,Tokyo,CANOE SPRINT,Men's Kayak Double 1000m Team,Nenhuma Medalha
Nikhil Kumar,Masculino,2020,United States,USA,Summer,Tokyo,TABLE TENNIS,Men's Singles,Nenhuma Medalha
Kathleen Ledecky,Feminino,2020,United States,USA,Summer,Tokyo,SWIMMING,Women's 1500m Freestyle,Ouro
Chaopan Lin,Masculino,2020,China,CHN,Summer,Tokyo,ARTISTIC GYMNASTICS,Men's All-Around,Nenhuma Medalha
Urszula Los,Feminino,2020,Poland,POL,Summer,Tokyo,CYCLING TRACK,Women's Sprint,Nenhuma Medalha
Viktoria Lukacs,Feminino,2020,Hungary,HUN,Summer,Tokyo,HANDBALL,Women Team,Nenhuma Medalha
Timothe Luwawu,Masculino,2020,France,FRA,Summer,Tokyo,BASKETBALL,Men Team,Prata
Pascal Martinot-lagarde,Masculino,2020,France,FRA,Summer,Tokyo,ATHLETICS,Men's 110m Hurdles,Nenhuma Medalha
Jennifer Martins,Feminino,2020,Canada,CAN,Summer,Tokyo,ROWING,Women's Four Team,Nenhuma Medalha
McQUILLIN Taylor,Feminino,2020,Mexico,MEX,Summer,Tokyo,BASEBALL/SOFTBALL,Softball Team,Nenhuma Medalha
Yevgeniy Medvedev,Masculino,2020,Kazakhstan,KAZ,Summer,Tokyo,WATER POLO,Men Team,Nenhuma Medalha
